Date,Open,High,Low,Close,Adj Close,Volume
2020-08-20,0.017880,0.019396,0.017871,0.019396,0.019396,181772955
2020-08-21,0.019392,0.019894,0.017961,0.017973,0.017973,186340467
2020-08-22,0.017977,0.018409,0.017373,0.018277,0.018277,154529887
2020-08-23,0.018231,0.018279,0.017779,0.017918,0.017918,120582894
2020-08-24,0.017916,0.018647,0.017700,0.018178,0.018178,125447568
2020-08-25,0.018176,0.018207,0.016356,0.016962,0.016962,145703325
2020-08-26,0.016943,0.017508,0.016636,0.017165,0.017165,135814341
2020-08-27,0.017164,0.017279,0.015438,0.015938,0.015938,134921736
2020-08-28,0.015943,0.016804,0.015738,0.016337,0.016337,107463651
2020-08-29,0.016336,0.017204,0.016057,0.016902,0.016902,112419226
2020-08-30,0.016895,0.017433,0.016736,0.017139,0.017139,113606521
2020-08-31,0.017143,0.018665,0.017076,0.017394,0.017394,214250673
2020-09-01,0.017388,0.017623,0.016892,0.017033,0.017033,161500115
2020-09-02,0.017046,0.017250,0.015456,0.015985,0.015985,158245457
2020-09-03,0.016005,0.016879,0.011868,0.012455,0.012455,197199806
2020-09-04,0.012460,0.014698,0.011912,0.014429,0.014429,277906777
2020-09-05,0.014415,0.014664,0.011131,0.012114,0.012114,217167226
2020-09-06,0.012114,0.012979,0.011097,0.012373,0.012373,169711568
2020-09-07,0.012376,0.012595,0.011094,0.012207,0.012207,165096019
2020-09-08,0.012203,0.013436,0.011842,0.012128,0.012128,161747589
2020-09-09,0.012132,0.013265,0.011692,0.012857,0.012857,138152549
2020-09-10,0.012865,0.013645,0.012861,0.012983,0.012983,133126607
2020-09-11,null,null,null,null,null,null
2020-09-12,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null
2020-09-17,0.012461,0.013716,0.012434,0.013520,0.013520,129560479
2020-09-18,0.013520,0.015287,0.013430,0.014429,0.014429,178496230
2020-09-19,0.014419,0.015454,0.013870,0.015278,0.015278,152038352
2020-09-20,0.015271,0.015873,0.013968,0.014473,0.014473,138171715
2020-09-21,0.014488,0.014773,0.012411,0.012671,0.012671,168324877
2020-09-22,0.012663,0.012998,0.012117,0.012363,0.012363,122295978
2020-09-23,0.012359,0.012397,0.011251,0.011393,0.011393,141119934
2020-09-24,0.011392,0.012625,0.011282,0.012399,0.012399,136867967
2020-09-25,0.012405,0.013255,0.011900,0.012898,0.012898,142874365
2020-09-26,0.012928,0.013293,0.012528,0.012884,0.012884,111238286
2020-09-27,0.012879,0.013049,0.012346,0.012741,0.012741,103962424
2020-09-28,0.012741,0.013573,0.012732,0.012845,0.012845,136965358
2020-09-29,0.012826,0.013208,0.012380,0.013186,0.013186,152112086
2020-09-30,0.013177,0.013577,0.012699,0.013530,0.013530,132701927
2020-10-01,0.013530,0.013660,0.012596,0.012738,0.012738,122189563
2020-10-02,0.012742,0.012882,0.011583,0.011884,0.011884,136404250
2020-10-03,0.011884,0.012178,0.011757,0.011777,0.011777,99014981
2020-10-04,0.011777,0.011886,0.011381,0.011687,0.011687,103349222
2020-10-05,0.011687,0.011897,0.011305,0.011395,0.011395,105846039
2020-10-06,0.011397,0.011484,0.010087,0.010134,0.010134,128682019
2020-10-07,0.010134,0.011279,0.009764,0.011279,0.011279,144145700
2020-10-08,0.011256,0.011444,0.010505,0.011012,0.011012,135338355
2020-10-09,null,null,null,null,null,null
2020-10-10,0.011477,0.012020,0.011357,0.011407,0.011407,134285633
2020-10-11,0.011402,0.011933,0.011271,0.011447,0.011447,119606481
2020-10-12,null,null,null,null,null,null
2020-10-13,null,null,null,null,null,null
2020-10-14,0.011492,0.011565,0.010829,0.011147,0.011147,124988047
2020-10-15,0.011145,0.011277,0.010733,0.010953,0.010953,100893716
2020-10-16,0.010958,0.011062,0.010360,0.010595,0.010595,105595482
